E	db0_pair_dE	db0_pion_dE	db0_rsh_dE	db0_dE
3.677609101601046e17	9.375518981964848e-13	0.0	7.358487281534e-11	9.375518981964848e-13
3.7202366814130656e17	1.0052041400604263e-12	0.0	7.358487281534e-11	1.0052041400604263e-12
3.763358362286548e17	1.0769147591826205e-12	0.0	7.358487281534e-11	1.0769147591826205e-12
3.806979871402284e17	1.1528693892576408e-12	0.0	7.358487281534e-11	1.1528693892576408e-12
3.8511070023255846e17	1.2332586615297593e-12	0.0	7.358487281534e-11	1.2332586615297593e-12
3.895745615775501e17	1.3182781583552607e-12	0.0	7.358487281534e-11	1.3182781583552607e-12
3.940901640403464e17	1.4081283552536069e-12	0.0	7.358487281534e-11	1.4081283552536069e-12
3.986581073580439e17	1.5030145558018663e-12	0.0	7.358487281534e-11	1.5030145558018663e-12
4.0327899821937216e17	1.6031468110241897e-12	0.0	7.358487281534e-11	1.6031468110241897e-12
4.0795345034524486e17	1.7087398357904533e-12	0.0	7.358487281534e-11	1.7087398357904533e-12
4.126820845702969e17	1.820012907859275e-12	0.0	7.358487281534e-11	1.820012907859275e-12
4.174655289253135e17	1.9371897624181713e-12	0.0	7.358487281534e-11	1.9371897624181713e-12
4.223044187206689e17	2.0604984733027703e-12	0.0	7.358487281534e-11	2.0604984733027703e-12
4.271993966306776e17	2.1901713219808603e-12	0.0	7.358487281534e-11	2.1901713219808603e-12
4.32151112778978e17	2.3264446642596577e-12	0.0	7.358487281534e-11	2.3264446642596577e-12
4.3716022482485024e17	2.469558777695639e-12	0.0	7.358487281534e-11	2.469558777695639e-12
4.422273980505915e17	2.6197577056490923e-12	0.0	7.358487281534e-11	2.6197577056490923e-12
4.4735330544984634e17	2.777289087931327e-12	0.0	7.358487281534e-11	2.777289087931327e-12
4.525386278170185e17	2.942403984268541e-12	0.0	7.358487281534e-11	2.942403984268541e-12
4.5778405383766163e17	3.1153566863898165e-12	0.0	7.358487281534e-11	3.1153566863898165e-12
4.6309028017997555e17	3.296404524358383e-12	0.0	7.358487281534e-11	3.296404524358383e-12
4.684580115873045e17	3.485807658042651e-12	0.0	7.358487281534e-11	3.485807658042651e-12
4.7388796097176704e17	3.68382886851682e-12	0.0	7.358487281534e-11	3.68382886851682e-12
4.793808495089107e17	3.8907333315330675e-12	0.0	7.358487281534e-11	3.8907333315330675e-12
4.849374067335253e17	4.106788392292745e-12	0.0	7.358487281534e-11	4.106788392292745e-12
4.905583706365046e17	4.332263324234396e-12	0.0	7.358487281534e-11	4.332263324234396e-12
4.962444877628934e17	4.567429087435306e-12	0.0	7.358487281534e-11	4.567429087435306e-12
5.0199651331100794e17	4.812558078719977e-12	0.0	7.358487281534e-11	4.812558078719977e-12
5.0781521123276915e17	5.067923866909079e-12	0.0	7.358487281534e-11	5.067923866909079e-12
5.137013543351339e17	5.333800938876646e-12	0.0	7.358487281534e-11	5.333800938876646e-12
5.196557243827679e17	5.610464420879939e-12	0.0	7.358487281534e-11	5.610464420879939e-12
5.256791122018419e17	5.8981898106292335e-12	0.0	7.358487281534e-11	5.8981898106292335e-12
5.317723177850988e17	6.197252695170856e-12	0.0	7.358487281534e-11	6.197252695170856e-12
5.3793615039806976e17	6.507928463249085e-12	0.0	7.358487281534e-11	6.507928463249085e-12
5.44171428686591e17	6.830492030033427e-12	0.0	7.358487281534e-11	6.830492030033427e-12
5.5047898078549677e17	7.165217530810691e-12	0.0	7.358487281534e-11	7.165217530810691e-12
5.5685964442864314e17	7.512378039103314e-12	0.0	7.358487281534e-11	7.512378039103314e-12
5.633142670601352e17	7.872245264509089e-12	0.0	7.358487281534e-11	7.872245264509089e-12
5.69843705946916e17	8.245089259963894e-12	0.0	7.358487281534e-11	8.245089259963894e-12
5.764488282925873e17	8.631178118955172e-12	0.0	7.358487281534e-11	8.631178118955172e-12
5.831305113526243e17	9.030777677025469e-12	0.0	7.358487281534e-11	9.030777677025469e-12
5.898896425508493e17	9.444151209932283e-12	0.0	7.358487281534e-11	9.444151209932283e-12
5.967271195973335e17	9.871559142018409e-12	0.0	7.358487281534e-11	9.871559142018409e-12
6.036438506075864e17	1.0313258733270479e-11	0.0	7.358487281534e-11	1.0313258733270479e-11
6.106407542232061e17	1.0769503792863504e-11	0.0	7.358487281534e-11	1.0769503792863504e-11
6.177187597338488e17	1.1240544382713436e-11	0.0	7.358487281534e-11	1.1240544382713436e-11
6.248788072006913e17	1.172662651471472e-11	0.0	7.358487281534e-11	1.172662651471472e-11
6.321218475812448e17	1.222799186357742e-11	0.0	7.358487281534e-11	1.222799186357742e-11
6.394488428556963e17	1.2744877486994169e-11	0.0	7.358487281534e-11	1.2744877486994169e-11
6.468607661546321e17	1.327751553066232e-11	0.0	7.358487281534e-11	1.327751553066232e-11
6.543586018883256e17	1.3826132948442922e-11	0.0	7.358487281534e-11	1.3826132948442922e-11
6.619433458774388e17	1.4390951239572298e-11	0.0	7.358487281534e-11	1.4390951239572298e-11
6.696160054853243e17	1.497218615734289e-11	0.0	7.358487281534e-11	1.497218615734289e-11
6.773775997517745e17	1.55700474591846e-11	0.0	7.358487281534e-11	1.55700474591846e-11
6.852291595284086e17	1.6184738649661204e-11	0.0	7.358487281534e-11	1.6184738649661204e-11
