E	beta_pair_E	beta_pion_E	beta_rsh_E	beta_total_E
1.2192312516491144e18	2.0231601889942477e-11	0	7.665e-11	9.688160188994248e-11
1.2333634979137746e18	2.0815906531826854e-11	0	7.665e-11	9.746590653182686e-11
1.2476595526308736e18	2.1411282047801146e-11	0	7.665e-11	9.806128204780115e-11
1.2621213145225462e18	2.2017774756420083e-11	0	7.665e-11	9.866777475642008e-11
1.2767507043192696e18	2.263542720632163e-11	0	7.665e-11	9.928542720632163e-11
1.2915496650148828e18	2.3264278096180885e-11	0	7.665e-11	9.991427809618089e-11
1.3065201621247252e18	2.3904362720807406e-11	0	7.665e-11	1.0055436272080741e-10
1.3216641839466038e18	2.4555712247014772e-11	0	7.665e-11	1.0120571224701478e-10
1.3369837418249508e18	2.5218354120629795e-11	0	7.665e-11	1.0186835412062979e-10
1.352480870417874e18	2.5892312063273834e-11	0	7.665e-11	1.0254231206327384e-10
1.3681576279674762e18	2.6577605547819874e-11	0	7.665e-11	1.0322760554781987e-10
1.3840160965731302e18	2.727425048692025e-11	0	7.665e-11	1.0392425048692025e-10
1.400058382468102e18	2.7982258757241718e-11	0	7.665e-11	1.0463225875724172e-10
1.4162866162991974e18	2.870163828967443e-11	0	7.665e-11	1.0535163828967443e-10
1.4327029534098353e18	2.943239289205321e-11	0	7.665e-11	1.060823928920532e-10
1.4493095741262152e18	3.0174522850160586e-11	0	7.665e-11	1.0682452285016058e-10
1.466108684046989e18	3.0928024034327666e-11	0	7.665e-11	1.0757802403432766e-10
1.483102514336103e18	3.16928884551146e-11	0	7.665e-11	1.083428884551146e-10
1.5002933220192228e18	3.246910412147008e-11	0	7.665e-11	1.0911910412147008e-10
1.5176833902834038e18	3.325665521942687e-11	0	7.665e-11	1.0990665521942687e-10
1.5352750287804275e18	3.405552141210221e-11	0	7.665e-11	1.1070552141210221e-10
1.5530705739334584e18	3.486567884643994e-11	0	7.665e-11	1.1151567884643994e-10
1.5710723892474552e18	3.568709951142705e-11	0	7.665e-11	1.1233709951142705e-10
1.5892828656229763e18	3.6519751399002904e-11	0	7.665e-11	1.131697513990029e-10
1.6077044216738286e18	3.736359831422073e-11	0	7.665e-11	1.1401359831422074e-10
1.6263395040481905e18	3.82186006438809e-11	0	7.665e-11	1.1486860064388091e-10
1.6451905877536676e18	3.908471427293841e-11	0	7.665e-11	1.1573471427293842e-10
1.6642601764859018e18	3.996189130288856e-11	0	7.665e-11	1.1661189130288855e-10
1.6835508029612076e18	4.085007989768886e-11	0	7.665e-11	1.1750007989768888e-10
1.7030650292528425e18	4.17492243017426e-11	0	7.665e-11	1.183992243017426e-10
1.7228054471313992e18	4.265926509133969e-11	0	7.665e-11	1.193092650913397e-10
1.7427746784089172e18	4.358013830380662e-11	0	7.665e-11	1.202301383038066e-10
1.762975375287211e18	4.451177675398099e-11	0	7.665e-11	1.2116177675398099e-10
1.7834102207100063e18	4.5454109225931914e-11	0	7.665e-11	1.221041092259319e-10
1.8040819287193884e18	4.640706070189285e-11	0	7.665e-11	1.2305706070189286e-10
1.8249932448161505e18	4.737055239101544e-11	0	7.665e-11	1.2402055239101545e-10
1.8461469463245532e18	4.834450150637633e-11	0	7.665e-11	1.2499450150637633e-10
1.8675458427610742e18	4.932882227714295e-11	0	7.665e-11	1.2597882227714295e-10
1.889192776207672e18	5.0323424558194873e-11	0	7.665e-11	1.2697342455819488e-10
1.9110906216891359e18	5.1328214785822314e-11	0	7.665e-11	1.2797821478582233e-10
1.9332422875550513e18	5.234309579086053e-11	0	7.665e-11	1.2899309579086053e-10
1.9556507158659471e18	5.336796683674481e-11	0	7.665e-11	1.3001796683674482e-10
1.9783188827841702e18	5.440272365902209e-11	0	7.665e-11	1.310527236590221e-10
2.001249798969035e18	5.5447258796679614e-11	0	7.665e-11	1.3209725879667962e-10
2.02444650997681e18	5.6501460507153276e-11	0	7.665e-11	1.3315146050715326e-10
2.0479120966650834e18	5.7565214453050606e-11	0	7.665e-11	1.3421521445305061e-10
2.0716496756020754e18	5.863840268189718e-11	0	7.665e-11	1.352884026818972e-10
2.0956623994804308e18	5.972090393190099e-11	0	7.665e-11	1.3637090393190098e-10
2.1199534575360776e18	6.081259343022091e-11	0	7.665e-11	1.3746259343022093e-10
2.1445260759716654e18	6.191334391326412e-11	0	7.665e-11	1.3856334391326412e-10
2.169383518385191e18	6.302302425891227e-11	0	7.665e-11	1.3967302425891227e-10
