z	E
0.16224899598393575	7.81262104938986e17
0.1606425702811245	7.800273893378386e17
0.15903614457831325	7.787946902758711e17
0.157429718875502	7.775639891407094e17
0.15582329317269075	7.763352674518345e17
0.15421686746987953	7.751085068597005e17
0.15261044176706828	7.738836891448604e17
0.15100401606425704	7.726607962171025e17
0.1493975903614458	7.714398101145947e17
0.14779116465863454	7.702207130030394e17
0.1461847389558233	7.69003487174836e17
0.14457831325301204	7.67788115048253e17
0.1429718875502008	7.665745791666089e17
0.14136546184738955	7.65362862197461e17
0.13975903614457832	7.641529469318035e17
0.13815261044176708	7.629448162832739e17
0.13654618473895583	7.617384532873673e17
0.13493975903614458	7.605338411006597e17
0.13333333333333333	7.593309630000383e17
0.13172690763052208	7.58129802381941e17
0.13012048192771083	7.56930342761603e17
