E	Eg
9.839952296278207e17	1.5102510832630462e19
9.931091813749821e17	1.5573370708459284e19
1.0023075482838643e18	1.6058832055624505e19
1.0115911122238339e18	1.6560314480461703e19
1.0209606623060476e18	1.7079688008673608e19
1.0304169949505853e18	1.7619420242430038e19
1.0399609139541225e18	1.8182777655372945e19
1.0495932305582266e18	1.877410802701723e19
1.0593147635183744e18	1.9399248897547624e19
1.0691263391734771e18	2.006613861767543e19
1.0790287915161814e18	2.0785765742150062e19
1.0890229622637327e18	2.1573709433950822e19
1.0991097009294962e18	2.2452767174615646e19
1.1092898648952273e18	2.3457713831302394e19
1.1195643194838794e18	2.464458220223274e19
1.1299339380332193e18	2.6110550297077486e19
1.1403996019700355e18	2.804225727025751e19
1.1509622008850312e18	3.0855804766240846e19
1.1616226326085066e18	3.572649901727192e19
1.1723818032865997e18	4.772532627461114e19
1.1832406274583757e18	1.1275704133308593e20
1.194200028133535e18	6.919059531112692e20
1.2052609368708413e18	4.851924853560108e21
1.216424293857373e18	3.3615767710861915e22
1.2276910479883604e18	2.3004027494628616e23
1.2390621569479132e18	1.5551744066122146e24
1.2505385872903939e18	1.038987617392318e25
1.2621213145225462e18	6.862025419935071e25
1.2738113231864837e18	4.4819557292832634e26
1.2856096069432965e18	2.8956818241171487e27
1.297517168657584e18	1.8503467409839112e28
1.3095350204826703e18	1.1689703985150512e29
1.3216641839466038e18	7.299773049865674e29
1.333905690039064e18	4.507282842062204e30
1.346260579298911e18	2.75217106693109e31
1.3587299019027064e18	1.6622445261400785e32
1.3713147177539484e18	9.931128881881888e32
1.3840160965731302e18	5.870644428877421e33
1.3968351179887455e18	3.432876239705529e34
1.4097728716289677e18	1.98597686729359e35
1.422830457214349e18	1.1365205479473725e36
1.4360089846512635e18	6.433904567590768e36
1.4493095741262152e18	3.602823335742246e37
1.4627333562011359e18	1.996252625253779e38
1.476281471909391e18	1.0944120241048688e39
1.4899550728528507e18	5.937141532246019e39
1.5037553212997414e18	3.1874232299476458e40
1.5176833902834038e18	1.6935501648916346e41
1.5317404637020861e18	8.905918895987696e41
1.5459277364194785e18	4.6355965134011e42
1.5602464143663647e18	2.3883668561010995e43
1.57469771464309e18	1.21811075647016e44
1.5892828656229763e18	6.15013762030087e44
1.6040031070568264e18	3.07409804941002e45
1.6188596901781993e18	1.5212782748184005e46
